No,Symboling,Normalized-losses,Make,type,Aspiration,Num-of-doors,Body-style,Drive-wheels,Engine-location,Wheel-base,Curb-weight,Engine-type,Num_cylinders,Fuel-system,Compression-ratio,Horsepower,peak-rpm,city-mpg,highway-mpg,Load-date
25,1,148,dodge,gas,std,four,hatchback,fwd,front,93.7,1967,ohc,four,2bbl,9.4,68,5500,31,38,2/01/2001
26,1,148,dodge,gas,std,four,sedan,fwd,front,93.7,1989,ohc,four,2bbl,9.4,68,5500,31,38,2/01/2001
27,1,148,dodge,gas,std,four,sedan,fwd,front,93.7,1989,ohc,four,2bbl,9.4,68,5500,31,38,3/01/2001
28,1,148,dodge,gas,turbo,?,sedan,fwd,front,93.7,2191,ohc,four,mpfi,7.6,102,5500,24,30,3/01/2001
29,-1,110,dodge,gas,std,four,wagon,fwd,front,103.3,2535,ohc,four,2bbl,8.5,88,5000,24,30,3/01/2001
30,3,145,dodge,gas,turbo,two,hatchback,fwd,front,95.9,2811,ohc,four,mfi,7.0,145,5000,19,24,3/01/2001
31,2,137,honda,gas,std,two,hatchback,fwd,front,86.6,1713,ohc,four,1bbl,9.6,58,4800,49,54,3/01/2001
33,1,101,honda,gas,std,two,hatchback,fwd,front,93.7,1837,ohc,four,1bbl,10.1,60,5500,38,42,3/01/2001
34,1,101,honda,gas,std,two,hatchback,fwd,front,93.7,1940,ohc,four,1bbl,9.2,76,6000,30,34,3/01/2001
35,1,101,honda,gas,std,two,hatchback,fwd,front,93.7,1956,ohc,four,1bbl,9.2,76,6000,30,34,3/01/2001
36,0,110,honda,gas,std,four,sedan,fwd,front,96.5,2010,ohc,four,1bbl,9.2,76,6000,30,34,3/01/2001
37,0,78,honda,gas,std,four,wagon,fwd,front,96.5,2024,ohc,four,1bbl,9.2,76,6000,30,34,3/01/2001
38,0,106,honda,gas,std,two,hatchback,fwd,front,96.5,2236,ohc,four,1bbl,9.0,86,5800,27,33,3/01/2001
39,0,106,honda,gas,std,two,hatchback,fwd,front,96.5,2289,ohc,four,1bbl,9.0,86,5800,27,33,3/01/2001
40,0,85,honda,gas,std,four,sedan,fwd,front,96.5,2304,ohc,four,1bbl,9.0,86,5800,27,33,3/01/2001
41,0,85,honda,gas,std,four,sedan,fwd,front,96.5,2372,ohc,four,1bbl,9.0,86,5800,27,33,3/01/2001
42,0,85,honda,gas,std,four,sedan,fwd,front,96.5,2465,ohc,four,mpfi,9.0,101,5800,24,28,3/01/2001
43,1,107,honda,gas,std,two,sedan,fwd,front,96.5,2293,ohc,four,2bbl,9.1,100,5500,25,31,3/01/2001
44,0,?,isuzu,gas,std,four,sedan,rwd,front,94.3,2337,ohc,four,2bbl,8.5,78,4800,24,29,3/01/2001
48,0,145,jaguar,gas,std,four,sedan,rwd,front,113.0,4066,dohc,six,mpfi,8.1,176,4750,15,19,3/01/2001
49,0,?,jaguar,gas,std,four,sedan,rwd,front,113.0,4066,dohc,six,mpfi,8.1,176,4750,15,19,3/01/2001
50,0,?,jaguar,gas,std,two,sedan,rwd,front,102.0,3950,ohcv,twelve,mpfi,11.5,262,5000,13,17,3/01/2001
51,1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,1890,ohc,four,2bbl,9.0,68,5000,30,31,3/01/2001
52,1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,1900,ohc,four,2bbl,9.0,68,5000,31,38,3/01/2001
53,1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,1905,ohc,four,2bbl,9.0,68,5000,31,38,3/01/2001
54,1,113,mazda,gas,std,four,sedan,fwd,front,93.1,1945,ohc,four,2bbl,9.0,68,5000,31,38,3/01/2001
55,1,113,mazda,gas,std,four,sedan,fwd,front,93.1,1950,ohc,four,2bbl,9.0,68,5000,31,38,3/01/2001
56,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,2380,rotor,two,4bbl,9.4,101,6000,17,23,3/01/2001
57,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,2380,rotor,two,4bbl,9.4,101,6000,17,23,3/01/2001
58,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,2385,rotor,two,4bbl,9.4,101,6000,17,23,4/01/2001
59,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,2500,rotor,two,mpfi,9.4,135,6000,16,23,4/01/2001
60,1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,2385,ohc,four,2bbl,8.6,84,4800,26,32,4/01/2001
61,0,115,mazda,gas,std,four,sedan,fwd,front,98.8,2410,ohc,four,2bbl,8.6,84,4800,26,32,4/01/2001
62,1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,2385,ohc,four,2bbl,8.6,84,4800,26,32,4/01/2001
63,0,115,mazda,gas,std,four,sedan,fwd,front,98.8,2410,ohc,four,2bbl,8.6,84,4800,26,32,4/01/2001
64,0,?,mazda,diesel,std,?,sedan,fwd,front,98.8,2443,ohc,four,idi,22.7,64,4650,36,42,4/01/2001
65,0,115,mazda,gas,std,four,hatchback,fwd,front,98.8,2425,ohc,four,2bbl,8.6,84,4800,26,32,4/01/2001
66,0,118,mazda,gas,std,four,sedan,rwd,front,104.9,2670,ohc,four,mpfi,8.0,120,5000,19,27,4/01/2001
67,0,?,mazda,diesel,std,four,sedan,rwd,front,104.9,2700,ohc,four,idi,22.0,72,4200,31,39,4/01/2001
68,-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,110.0,3515,ohc,five,idi,21.5,123,4350,22,25,4/01/2001
69,-1,93,mercedes-benz,diesel,turbo,four,wagon,rwd,front,110.0,3750,ohc,five,idi,21.5,123,4350,22,25,4/01/2001
71,-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.6,3770,ohc,five,idi,21.5,123,4350,22,25,4/01/2001
72,-1,?,mercedes-benz,gas,std,four,sedan,rwd,front,115.6,3740,ohcv,eight,mpfi,8.3,155,4750,16,18,4/01/2001
74,0,?,mercedes-benz,gas,std,four,sedan,rwd,front,120.9,3900,ohcv,eight,mpfi,8.0,184,4500,14,16,4/01/2001
75,1,?,mercedes-benz,gas,std,two,hardtop,rwd,front,112.0,3715,ohcv,eight,mpfi,8.0,184,4500,14,16,4/01/2001
76,1,?,mercury,gas,turbo,two,hatchback,rwd,front,102.7,2910,ohc,four,mpfi,8.0,175,5000,19,24,4/01/2001
77,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,1918,ohc,four,2bbl,9.4,68,5500,37,41,4/01/2001
78,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,1944,ohc,four,2bbl,9.4,68,5500,31,38,4/01/2001
79,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,2004,ohc,four,2bbl,9.4,68,5500,31,38,4/01/2001
80,1,161,mitsubishi,gas,turbo,two,hatchback,fwd,front,93.0,2145,ohc,four,spdi,7.6,102,5500,24,30,4/01/2001
81,3,153,mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,2370,ohc,four,spdi,7.5,116,5500,23,30,4/01/2001
82,3,153,mitsubishi,gas,std,two,hatchback,fwd,front,96.3,2328,ohc,four,2bbl,8.5,88,5000,25,32,4/01/2001
83,3,?,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,2833,ohc,four,spdi,7.0,145,5000,19,24,4/01/2001
85,3,?,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,2926,ohc,four,spdi,7.0,145,5000,19,24,4/01/2001
86,1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,2365,ohc,four,2bbl,8.5,88,5000,25,32,4/01/2001
87,1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,2405,ohc,four,2bbl,8.5,88,5000,25,32,4/01/2001
88,1,125,mitsubishi,gas,turbo,four,sedan,fwd,front,96.3,2403,ohc,four,spdi,7.5,116,5500,23,30,5/01/2001
89,-1,137,mitsubishi,gas,std,four,sedan,fwd,front,96.3,2403,ohc,four,spdi,7.5,116,5500,23,30,5/01/2001
90,1,128,nissan,gas,std,two,sedan,fwd,front,94.5,1889,ohc,four,2bbl,9.4,69,5200,31,37,5/01/2001
91,1,128,nissan,diesel,std,two,sedan,fwd,front,94.5,2017,ohc,four,idi,21.9,55,4800,45,50,5/01/2001
92,1,128,nissan,gas,std,two,sedan,fwd,front,94.5,1918,ohc,four,2bbl,9.4,69,5200,31,37,5/01/2001
93,1,122,nissan,gas,std,four,sedan,fwd,front,94.5,1938,ohc,four,2bbl,9.4,69,5200,31,37,5/01/2001
94,1,103,nissan,gas,std,four,wagon,fwd,front,94.5,2024,ohc,four,2bbl,9.4,69,5200,31,37,5/01/2001
95,1,128,nissan,gas,std,two,sedan,fwd,front,94.5,1951,ohc,four,2bbl,9.4,69,5200,31,37,5/01/2001
96,1,128,nissan,gas,std,two,hatchback,fwd,front,94.5,2028,ohc,four,2bbl,9.4,69,5200,31,37,5/01/2001
97,1,122,nissan,gas,std,four,sedan,fwd,front,94.5,1971,ohc,four,2bbl,9.4,69,5200,31,37,5/01/2001
98,1,103,nissan,gas,std,four,wagon,fwd,front,94.5,2037,ohc,four,2bbl,9.4,69,5200,31,37,5/01/2001
99,2,168,nissan,gas,std,two,hardtop,fwd,front,95.1,2008,ohc,four,2bbl,9.4,69,5200,31,37,5/01/2001
100,0,106,nissan,gas,std,four,hatchback,fwd,front,97.2,2324,ohc,four,2bbl,8.5,97,5200,27,34,5/01/2001
101,0,106,nissan,gas,std,four,sedan,fwd,front,97.2,2302,ohc,four,2bbl,8.5,97,5200,27,34,5/01/2001
102,0,128,nissan,gas,std,four,sedan,fwd,front,100.4,3095,ohcv,six,mpfi,9.0,152,5200,17,22,5/01/2001
103,0,108,nissan,gas,std,four,wagon,fwd,front,100.4,3296,ohcv,six,mpfi,9.0,152,5200,17,22,5/01/2001
104,0,108,nissan,gas,std,four,sedan,fwd,front,100.4,3060,ohcv,six,mpfi,9.0,152,5200,19,25,5/01/2001
105,3,194,nissan,gas,std,two,hatchback,rwd,front,91.3,3071,ohcv,six,mpfi,9.0,160,5200,19,25,5/01/2001
106,3,194,nissan,gas,turbo,two,hatchback,rwd,front,91.3,3139,ohcv,six,mpfi,7.8,200,5200,17,23,5/01/2001
107,1,231,nissan,gas,std,two,hatchback,rwd,front,99.2,3139,ohcv,six,mpfi,9.0,160,5200,19,25,5/01/2001
108,0,161,peugot,gas,std,four,sedan,rwd,front,107.9,3020,l,four,mpfi,8.4,97,5000,19,24,5/01/2001
109,0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,3197,l,four,idi,21.0,95,4150,28,33,5/01/2001
110,0,?,peugot,gas,std,four,wagon,rwd,front,114.2,3230,l,four,mpfi,8.4,97,5000,19,24,5/01/2001
111,0,?,peugot,diesel,turbo,four,wagon,rwd,front,114.2,3430,l,four,idi,21.0,95,4150,25,25,5/01/2001
112,0,161,peugot,gas,std,four,sedan,rwd,front,107.9,3075,l,four,mpfi,8.4,95,5000,19,24,5/01/2001
113,0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,3252,l,four,idi,21.0,95,4150,28,33,5/01/2001
115,0,?,peugot,diesel,turbo,four,wagon,rwd,front,114.2,3485,l,four,idi,21.0,95,4150,25,25,5/01/2001
116,0,161,peugot,gas,std,four,sedan,rwd,front,107.9,3075,l,four,mpfi,8.4,97,5000,19,24,5/01/2001
117,0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,3252,l,four,idi,21.0,95,4150,28,33,5/01/2001
118,0,161,peugot,gas,turbo,four,sedan,rwd,front,108.0,3130,l,four,mpfi,7.0,142,5600,18,24,5/01/2001
120,1,119,plymouth,gas,turbo,two,hatchback,fwd,front,93.7,2128,ohc,four,spdi,7.6,102,5500,24,30,6/01/2001
121,1,154,plymouth,gas,std,four,hatchback,fwd,front,93.7,1967,ohc,four,2bbl,9.4,68,5500,31,38,6/01/2001
122,1,154,plymouth,gas,std,four,sedan,fwd,front,93.7,1989,ohc,four,2bbl,9.4,68,5500,31,38,6/01/2001
123,1,154,plymouth,gas,std,four,sedan,fwd,front,93.7,2191,ohc,four,2bbl,9.4,68,5500,31,38,6/01/2001
124,-1,74,plymouth,gas,std,four,wagon,fwd,front,103.3,2535,ohc,four,2bbl,8.5,88,5000,24,30,6/01/2001
125,3,?,plymouth,gas,turbo,two,hatchback,rwd,front,95.9,2818,ohc,four,spdi,7.0,145,5000,19,24,6/01/2001
126,3,186,porsche,gas,std,two,hatchback,rwd,front,94.5,2778,ohc,four,mpfi,9.5,143,5500,19,27,6/01/2001
127,3,?,porsche,gas,std,two,hardtop,rwd,rear,89.5,2756,ohcf,six,mpfi,9.5,207,5900,17,25,6/01/2001
128,3,?,porsche,gas,std,two,hardtop,rwd,rear,89.5,2756,ohcf,six,mpfi,9.5,207,5900,17,25,6/01/2001
129,3,?,porsche,gas,std,two,convertible,rwd,rear,89.5,2800,ohcf,six,mpfi,9.5,207,5900,17,25,6/01/2001
131,0,?,renault,gas,std,four,wagon,fwd,front,96.1,2579,ohc,four,mpfi,8.7,?,?,23,31,6/01/2001
132,2,?,renault,gas,std,two,hatchback,fwd,front,96.1,2460,ohc,four,mpfi,8.7,?,?,23,31,6/01/2001
133,3,150,saab,gas,std,two,hatchback,fwd,front,99.1,2658,ohc,four,mpfi,9.31,110,5250,21,28,6/01/2001
134,2,104,saab,gas,std,four,sedan,fwd,front,99.1,2695,ohc,four,mpfi,9.3,110,5250,21,28,6/01/2001
135,3,150,saab,gas,std,two,hatchback,fwd,front,99.1,2707,ohc,four,mpfi,9.3,110,5250,21,28,6/01/2001
136,2,104,saab,gas,std,four,sedan,fwd,front,99.1,2758,ohc,four,mpfi,9.3,110,5250,21,28,6/01/2001
137,3,150,saab,gas,turbo,two,hatchback,fwd,front,99.1,2808,dohc,four,mpfi,9.0,160,5500,19,26,6/01/2001
138,2,104,saab,gas,turbo,four,sedan,fwd,front,99.1,2847,dohc,four,mpfi,9.0,160,5500,19,26,6/01/2001
139,2,83,subaru,gas,std,two,hatchback,fwd,front,93.7,2050,ohcf,four,2bbl,9.0,69,4900,31,36,6/01/2001
140,2,83,subaru,gas,std,two,hatchback,fwd,front,93.7,2120,ohcf,four,2bbl,8.7,73,4400,26,31,6/01/2001
141,2,83,subaru,gas,std,two,hatchback,4wd,front,93.3,2240,ohcf,four,2bbl,8.7,73,4400,26,31,6/01/2001
142,0,102,subaru,gas,std,four,sedan,fwd,front,97.2,2145,ohcf,four,2bbl,9.5,82,4800,32,37,6/01/2001
144,0,102,subaru,gas,std,four,sedan,fwd,front,97.2,2340,ohcf,four,mpfi,9.0,94,5200,26,32,6/01/2001
145,0,102,subaru,gas,std,four,sedan,4wd,front,97.0,2385,ohcf,four,2bbl,9.0,82,4800,24,25,6/01/2001
146,0,102,subaru,gas,turbo,four,sedan,4wd,front,97.0,2510,ohcf,four,mpfi,7.7,111,4800,24,29,6/01/2001
147,0,89,subaru,gas,std,four,wagon,fwd,front,97.0,2290,ohcf,four,2bbl,9.0,82,4800,28,32,6/01/2001
148,0,89,subaru,gas,std,four,wagon,fwd,front,97.0,2455,ohcf,four,mpfi,9.0,94,5200,25,31,6/01/2001
149,0,85,subaru,gas,std,four,wagon,4wd,front,96.9,2420,ohcf,four,2bbl,9.0,82,4800,23,29,7/01/2001
151,1,87,toyota,gas,std,two,hatchback,fwd,front,95.7,1985,ohc,four,2bbl,9.0,62,4800,35,39,7/01/2001
152,1,87,toyota,gas,std,two,hatchback,fwd,front,95.7,2040,ohc,four,2bbl,9.0,62,4800,31,38,7/01/2001
153,1,74,toyota,gas,std,four,hatchback,fwd,front,95.7,2015,ohc,four,2bbl,9.0,62,4800,31,38,7/01/2001
154,0,77,toyota,gas,std,four,wagon,fwd,front,95.7,2280,ohc,four,2bbl,9.0,62,4800,31,37,7/01/2001
155,0,81,toyota,gas,std,four,wagon,4wd,front,95.7,2290,ohc,four,2bbl,9.0,62,4800,27,32,7/01/2001
156,0,91,toyota,gas,std,four,wagon,4wd,front,95.7,3110,ohc,four,2bbl,9.0,62,4800,27,32,7/01/2001
157,0,91,toyota,gas,std,four,sedan,fwd,front,95.7,2081,ohc,four,2bbl,9.0,70,4800,30,37,7/01/2001
158,0,91,toyota,gas,std,four,hatchback,fwd,front,95.7,2109,ohc,four,2bbl,9.0,70,4800,30,37,7/01/2001
159,0,91,toyota,diesel,std,four,sedan,fwd,front,95.7,2275,ohc,four,idi,22.5,56,4500,34,36,7/01/2001
160,0,91,toyota,diesel,std,four,hatchback,fwd,front,95.7,2275,ohc,four,idi,22.5,56,4500,38,47,7/01/2001
161,0,91,toyota,gas,std,four,sedan,fwd,front,95.7,2094,ohc,four,2bbl,9.0,70,4800,38,47,7/01/2001
162,0,91,toyota,gas,std,four,hatchback,fwd,front,95.7,2122,ohc,four,2bbl,9.0,70,4800,28,34,7/01/2001
163,0,91,toyota,gas,std,four,sedan,fwd,front,95.7,2140,ohc,four,2bbl,9.0,70,4800,28,34,7/01/2001
164,1,168,toyota,gas,std,two,sedan,rwd,front,94.5,2169,ohc,four,2bbl,9.0,70,4800,29,34,7/01/2001
165,1,168,toyota,gas,std,two,hatchback,rwd,front,94.5,2204,ohc,four,2bbl,9.0,70,4800,29,34,7/01/2001
167,1,168,toyota,gas,std,two,hatchback,rwd,front,94.5,2300,dohc,four,mpfi,9.4,112,6600,26,29,7/01/2001
168,2,134,toyota,gas,std,two,hardtop,rwd,front,98.4,2540,ohc,four,mpfi,9.3,116,4800,24,30,7/01/2001
169,2,134,toyota,gas,std,two,hardtop,rwd,front,98.4,2536,ohc,four,mpfi,9.3,116,4800,24,30,7/01/2001
170,2,134,toyota,gas,std,two,hatchback,rwd,front,98.4,2551,ohc,four,mpfi,9.3,116,4800,24,30,7/01/2001
171,2,134,toyota,gas,std,two,hardtop,rwd,front,98.4,2679,ohc,four,mpfi,9.3,116,4800,24,30,7/01/2001
172,2,134,toyota,gas,std,two,hatchback,rwd,front,98.4,2714,ohc,four,mpfi,9.3,116,4800,24,30,7/01/2001
173,2,134,toyota,gas,std,two,convertible,rwd,front,98.4,2975,ohc,four,mpfi,9.3,116,4800,24,30,7/01/2001
174,-1,65,toyota,gas,std,four,sedan,fwd,front,102.4,2326,ohc,four,mpfi,8.7,92,4200,29,34,7/01/2001
175,-1,65,toyota,diesel,turbo,four,sedan,fwd,front,102.4,2480,ohc,four,idi,22.5,73,4500,30,33,7/01/2001
176,-1,65,toyota,gas,std,four,hatchback,fwd,front,102.4,2414,ohc,four,mpfi,8.7,92,4200,27,32,7/01/2001
177,-1,65,toyota,gas,std,four,sedan,fwd,front,102.4,2414,ohc,four,mpfi,8.7,92,4200,27,32,7/01/2001
178,-1,65,toyota,gas,std,four,hatchback,fwd,front,102.4,2458,ohc,four,mpfi,8.7,92,4200,27,32,7/01/2001
179,3,197,toyota,gas,std,two,hatchback,rwd,front,102.9,2976,dohc,six,mpfi,9.3,161,5200,20,24,7/01/2001
180,3,197,toyota,gas,std,two,hatchback,rwd,front,102.9,3016,dohc,six,mpfi,9.3,161,5200,19,24,8/01/2001
181,-1,90,toyota,gas,std,four,sedan,rwd,front,104.5,3131,dohc,six,mpfi,9.2,156,5200,20,24,8/01/2001
182,-1,?,toyota,gas,std,four,wagon,rwd,front,104.5,3151,dohc,six,mpfi,9.2,156,5200,19,24,8/01/2001
183,2,122,volkswagen,diesel,std,two,sedan,fwd,front,97.3,2261,ohc,four,idi,23.0,52,4800,37,46,8/01/2001
184,2,122,volkswagen,gas,std,two,sedan,fwd,front,97.3,2209,ohc,four,mpfi,9.0,85,5250,27,34,8/01/2001
185,2,94,volkswagen,diesel,std,four,sedan,fwd,front,97.3,2264,ohc,four,idi,23.0,52,4800,37,46,8/01/2001
186,2,94,volkswagen,gas,std,four,sedan,fwd,front,97.3,2212,ohc,four,mpfi,9.0,85,5250,27,34,8/01/2001
187,2,94,volkswagen,gas,std,four,sedan,fwd,front,97.3,2275,ohc,four,mpfi,9.0,85,5250,27,34,8/01/2001
188,2,94,volkswagen,diesel,turbo,four,sedan,fwd,front,97.3,2319,ohc,four,idi,23.0,68,4500,37,42,8/01/2001
189,2,94,volkswagen,gas,std,four,sedan,fwd,front,97.3,2300,ohc,four,mpfi,10.0,100,5500,26,32,8/01/2001
190,3,?,volkswagen,gas,std,two,convertible,fwd,front,94.5,2254,ohc,four,mpfi,8.5,90,5500,24,29,8/01/2001
191,3,256,volkswagen,gas,std,two,hatchback,fwd,front,94.5,2221,ohc,four,mpfi,8.5,90,5500,24,29,8/01/2001
192,0,?,volkswagen,gas,std,four,sedan,fwd,front,100.4,2661,ohc,five,mpfi,8.5,110,5500,19,24,8/01/2001
193,0,?,volkswagen,diesel,turbo,four,sedan,fwd,front,100.4,2579,ohc,four,idi,23.0,68,4500,33,38,8/01/2001
195,-2,103,volvo,gas,std,four,sedan,rwd,front,104.3,2912,ohc,four,mpfi,9.5,114,5400,23,28,8/01/2001
197,-2,103,volvo,gas,std,four,sedan,rwd,front,104.3,2935,ohc,four,mpfi,9.5,114,5400,24,28,8/01/2001
198,-1,74,volvo,gas,std,four,wagon,rwd,front,104.3,3042,ohc,four,mpfi,9.5,114,5400,24,28,8/01/2001
199,-2,103,volvo,gas,turbo,four,sedan,rwd,front,104.3,3045,ohc,four,mpfi,7.5,162,5100,17,22,8/01/2001
200,-1,74,volvo,gas,turbo,four,wagon,rwd,front,104.3,3157,ohc,four,mpfi,7.5,162,5100,17,22,8/01/2001
201,-1,95,volvo,gas,std,four,sedan,rwd,front,109.1,2952,ohc,four,mpfi,9.5,114,5400,23,28,8/01/2001
202,-1,95,volvo,gas,turbo,four,sedan,rwd,front,109.1,3049,ohc,four,mpfi,8.7,160,5300,19,25,8/01/2001
204,-1,95,volvo,diesel,turbo,four,sedan,rwd,front,109.1,3217,ohc,six,idi,23.0,106,4800,26,27,8/01/2001
206,1,158,audi,gas,std,four,sedan,fwd,front,105.8,2844,ohc,five,mpfi,8.5,110,5500,19,25,2/01/2001
207,-2,103,volvo,gas,std,four,sedan,rwd,front,104.3,2912,ohc,four,mpfi,9.5,114,5400,23,28,8/01/2001
209,0,77,toyota,gas,std,four,wagon,fwd,front,95.7,2280,ohc,four,2bbl,9.0,62,4800,31,37,7/01/2001
210,0,81,toyota,gas,std,four,wagon,4wd,front,95.7,2290,ohc,four,2bbl,9.0,62,4800,27,32,7/01/2001
211,0,91,toyota,gas,std,four,wagon,4wd,front,95.7,3110,ohc,four,2bbl,9.0,62,4800,27,32,7/01/2001
212,0,91,toyota,gas,std,four,sedan,fwd,front,95.7,2081,ohc,four,2bbl,9.0,70,4800,30,37,7/01/2001
213,0,?,mercedes-benz,gas,std,four,sedan,rwd,front,120.9,3900,ohcv,eight,mpfi,8.0,184,4500,14,16,4/01/2001
214,1,?,mercedes-benz,gas,std,two,hardtop,rwd,front,112.0,3715,ohcv,eight,mpfi,8.0,184,4500,14,16,4/01/2001
215,1,?,mercury,gas,turbo,two,hatchback,rwd,front,102.7,2910,ohc,four,mpfi,8.0,175,5000,19,24,4/01/2001
216,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,1918,ohc,four,2bbl,9.4,68,5500,37,41,4/01/2001
217,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,1944,ohc,four,2bbl,9.4,68,5500,31,38,4/01/2001
218,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,2004,ohc,four,2bbl,9.4,68,5500,31,38,4/01/2001
219,1,161,mitsubishi,gas,turbo,two,hatchback,fwd,front,93.0,2145,ohc,four,spdi,7.6,102,5500,24,30,4/01/2001
220,3,153,mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,2370,ohc,four,spdi,7.5,116,5500,23,30,4/01/2001
221,1,122,nissan,gas,std,four,sedan,fwd,front,94.5,1938,ohc,four,2bbl,9.4,69,5200,31,37,5/01/2001
222,1,103,nissan,gas,std,four,wagon,fwd,front,94.5,2024,ohc,four,2bbl,9.4,69,5200,31,37,5/01/2001
223,1,128,nissan,gas,std,two,sedan,fwd,front,94.5,1951,ohc,four,2bbl,9.4,69,5200,31,37,5/01/2001
224,1,128,nissan,gas,std,two,hatchback,fwd,front,94.5,2028,ohc,four,2bbl,9.4,69,5200,31,37,5/01/2001
225,1,122,nissan,gas,std,four,sedan,fwd,front,94.5,1971,ohc,four,2bbl,9.4,69,5200,31,37,5/01/2001
226,1,98,chevrolet,gas,std,two,hatchback,fwd,front,94.5,1874,ohc,four,2bbl,9.6,70,5400,38,43,2/01/2001
227,0,81,chevrolet,gas,std,four,sedan,fwd,front,94.5,1909,ohc,four,2bbl,9.6,70,5400,38,43,2/01/2001
228,1,118,dodge,gas,std,two,hatchback,fwd,front,93.7,1876,ohc,four,2bbl,9.41,68,5500,37,41,2/01/2001
230,1,118,dodge,gas,turbo,two,hatchback,fwd,front,93.7,2128,ohc,four,mpfi,7.6,102,5500,24,30,2/01/2001
231,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,1944,ohc,four,2bbl,9.4,68,5500,31,38,4/01/2001
